2.180529037837609,{'alpha': 0.99, 'epsilon': 50.0, 'eta0': 1e-06, 'l1_ratio': 0.99, 'max_iter': 4105.831116865184, 'n_iter_no_change': 30.0, 'power_t': 0.0025, 'tol': 1e-06, 'validation_fraction': 1e-05, 'verbose': 3.0}
2.090862152368901,{'alpha': 1e-06, 'epsilon': 50.0, 'eta0': 1e-06, 'l1_ratio': 0.99, 'max_iter': 3667.825768223631, 'n_iter_no_change': 30.0, 'power_t': 0.0025, 'tol': 1e-06, 'validation_fraction': 0.2, 'verbose': 0.0}
2.2015612781395237,{'alpha': 1e-06, 'epsilon': 50.0, 'eta0': 1e-06, 'l1_ratio': 0.99, 'max_iter': 314.39554322523946, 'n_iter_no_change': 30.0, 'power_t': 0.0025, 'tol': 1e-06, 'validation_fraction': 1e-05, 'verbose': 0.0}
